WMO_Region,Name,Area,ExtremeHeat_Proportion,Coldspell_coldwave_Proportion,RiverFlood_Proportion,Aridity_Drought_Proportion,FireWeather_Proportion,SevereWindStorm_Proportion,TropicalCyclone_Proportion,SandAndDustStorm_Proportion,Permafrost_Proportion,SnowAndIceStorm_Proportion,Hail_Proportion,SnowAvalanche_Proportion,CoastalFlood_Proportion
,Greenland/Iceland,168.1804814,,,,,,,,,,,,,
North America Central America and the Caribbean,N.W.North-America,3047.925553,0.013877212993563405,0.014249878197003282,0.013877212993563405,0.013877212993563405,0.013877212993563405,0.013877212993563405,,,0.8561414531569655,0.017102869431768745,,0.02062265724527448,0.013877212993563405
North America Central America and the Caribbean,N.E.North-America,512.1468413,0.002331805904414364,0.002394425316695053,0.002331805904414364,0.002331805904414364,0.002331805904414364,0.002331805904414364,,,0.14385854684303434,0.0028738170943923605,,0.0034652515567462367,0.002331805904414364
North America Central America and the Caribbean,W.North-America,31343.16539,0.1427055137817911,0.14653779475565454,0.1427055137817911,0.1427055137817911,0.1427055137817911,0.1427055137817911,,0.364021894958609,,0.175876364406563,0.14901809719439177,0.21207189794504794,0.1427055137817911
North America Central America and the Caribbean,C.North-America,30416.35962,0.1384857646933351,0.14220472654085492,0.1384857646933351,0.1384857646933351,0.1384857646933351,0.1384857646933351,0.1646512394686385,0.353257902603146,,0.17067576557391828,0.14461168735685037,,0.1384857646933351
North America Central America and the Caribbean,E.North-America,112891.7586,0.5139964713928639,0.5277995743406853,0.5139964713928639,0.5139964713928639,0.5139964713928639,0.5139964713928639,0.6111108696604873,,,0.6334711834933576,0.5367331233516046,0.7638401932529313,0.5139964713928639
North America Central America and the Caribbean,N.Central-America,24342.89307,0.11083325564806816,0.11380962401419102,0.11083325564806816,0.11083325564806816,0.11083325564806816,0.11083325564806816,0.1317740704772753,0.2827202024382449,,,0.11573596860307242,,0.11083325564806816
North America Central America and the Caribbean,S.Central-America,11337.09167,0.051617807947208556,0.05300397683491599,0.051617807947208556,0.051617807947208556,0.051617807947208556,0.051617807947208556,0.061370467036682044,,,,0.053901123494080806,,0.051617807947208556
North America Central America and the Caribbean,Caribbean,5743.938646,0.026152167638755375,,0.026152167638755375,0.026152167638755375,0.026152167638755375,0.026152167638755375,0.03109335335691672,,,,,,0.026152167638755375
SOUTH AMERICA,N.W.South-America,11145.75819,0.18132561921778795,0.18132561921778795,0.18132561921778795,0.18132561921778795,0.18132561921778795,0.18132561921778795,,,,0.688394805620549,0.18132561921778795,0.688394805620549,0.18603689453972633
SOUTH AMERICA,N.South-America,5774.043113,0.09393546181490672,0.09393546181490672,0.09393546181490672,0.09393546181490672,0.09393546181490672,0.09393546181490672,1.0,,,,0.09393546181490672,,0.09637613084453737
SOUTH AMERICA,N.E.South-America,7521.491305,0.1223639563205285,0.1223639563205285,0.1223639563205285,0.1223639563205285,0.1223639563205285,0.1223639563205285,,,,,0.1223639563205285,,0.12554326595252946
