WMO_Region,OID_,Continent,Type,Name,Acronym,Area,AreaPercent,GDP_billion,ExtremeHeat,Coldspell_coldwave,RiverFlood,Aridity_Drought,FireWeather,SevereWindStorm,TropicalCyclone,SandAndDustStorm,Permafrost,SnowAndIceStorm,Hail,SnowAvalanche,CoastalFlood
,0,POLAR,Land,Greenland/Iceland,GIC,2335453.729,,168.1804814,,,,,,,,,,,,,
 North America Central America and the Caribbean,1,NORTH-AMERICA,Land,N.W.North-America,NWN,5417501.175,0.245325895,3047.925553,0.20052572784999997,-0.2059107371,0.707737863,-0.471825242,0.707737863,,,,-0.0,,,-0.0,0.0
 North America Central America and the Caribbean,2,NORTH-AMERICA,Land,N.E.North-America,NEN,4559820.508,0.20648672,512.1468413,0.033694596699999996,-0.034599441249999995,0.118922106,-0.13477838679999998,0.118922106,,,,-0.0,,,,
 North America Central America and the Caribbean,3,NORTH-AMERICA,Land,W.North-America,WNA,2721928.576,0.123259699,31343.16539,2.0620946773,-2.11747113775,7.277981214,,12.372568063800001,2.4259937380000003,,0.0,,,,-0.0,0.0
 North America Central America and the Caribbean,4,NORTH-AMERICA,Land,C.North-America,CNA,2754947.451,0.124754924,30416.35962,2.00111930425,-2.05485830515,7.062774015,4.70851601,7.062774015,2.354258005,81.17306082699999,,,,,,0.0
 North America Central America and the Caribbean,5,NORTH-AMERICA,Land,E.North-America,ENA,3411511.81,0.154486757,112891.7586,7.42724900595,-7.626703844299999,26.213820021,-17.475880014,26.213820021,8.737940007,301.27765890999996,,,,,,0.0
 North America Central America and the Caribbean,6,CENTRAL-AMERICA,Land,N.Central-America,NCA,1996324.302,0.090401466,24342.89307,1.6015405491999999,-1.6445490667999998,,6.4061621967999995,9.6092432952,,64.96461650999998,0.0,,,,,0.0
 North America Central America and the Caribbean,7,CENTRAL-AMERICA,Land,S.Central-America,SCA,990715.3519,0.044863512,11337.09167,0.7458773256000001,-0.7659074676500001,,1.755005472,2.632508208,,30.255640230999994,,,,,,0.0
 North America Central America and the Caribbean,8,CENTRAL-AMERICA,Land-Ocean,Caribbean,CAR,230126.2504,0.010421027,5743.938646,0.3778988276,,,0.889173712,,,15.329023028999998,,,,,,0.0
SOUTH AMERICA,9,SOUTH-AMERICA,Land,N.W.South-America,NWS,2059354.743,0.116106949,11145.75819,0.0,-0.6220556685414,,,,,,,,,,,0.0
SOUTH AMERICA,10,SOUTH-AMERICA,Land,N.South-America,NSA,4391103.239,0.247571528,5774.043113,0.0,-0.3222549959372,,1.3269323362120002,0.1611274979686,,1.5135,,,,,,0.0
SOUTH AMERICA,11,SOUTH-AMERICA,Land,N.E.South-America,NES,2704200.895,0.152463541,7521.491305,0.0,-0.4197817874536,,1.7285132424560004,0.2098908937268,,,,,,,,0.0
SOUTH AMERICA,12,SOUTH-AMERICA,Land,South-American-Monsoon,SAM,2986131.203,0.168358844,1556.645967,0.0,-0.08687793466839999,0.33218033843800004,0.35773267216400007,0.043438967334199996,,,,,,,,
SOUTH AMERICA,13,SOUTH-AMERICA,Land,S.W.South-America,SWS,1044024.274,0.058862357,4593.33606,0.0,-0.2563585799934,,1.055594152914,0.1281792899967,,,,-0.0,,,,0.0
SOUTH AMERICA,14,SOUTH-AMERICA,Land,S.E.South-America,SES,3790064.565,0.213684814,30425.07396,0.0,-1.6980531456452004,6.492556145114,,,,,,,,,,0.0
SOUTH AMERICA,15,SOUTH-AMERICA,Land,S.South-America,SSA,761826.3735,0.042951967,451.8445819,0.0,-0.0252178877608,,,,,,,-0.0,,,,0.0
EUROPE,16,EUROPE,Land,N.Europe,NEU,2062489.121,0.166381836,51420.03944,3.300602771536,-0.825150692884,-13.10533453404,-8.251506928840001,,0.48538276052,,,-0.0,,,,0.0
EUROPE,17,EUROPE,Land,West&Central-Europe,WCE,3366026.066,0.271538692,114047.0021,7.320567156768999,-1.8301417891922498,49.41382830819075,,4.30621597457,1.0765539936425,,,-0.0,,,,0.0
EUROPE,18,EUROPE,Land,E.Europe,EEU,2834168.326,0.228633512,7784.705868,0.49969277312899996,-0.12492319328224999,-1.9840742462475,,0.29393692537,0.0734842313425,,,,,,,
EUROPE,19,EUROPE-AFRICA,Land-Ocean,Mediterranean,MED,4133435.963,0.33344596,79143.38026,5.080137298566,-1.2700343246415,-20.171133391365,12.700343246415004,5.080137298566,0.747079014495,,,-0.0,,,,0.0
AFRICA_WMO,20,AFRICA,Land,Sahara,SAH,8976304.125,0.318223955,5501.560454,0.0,-0.0,,,,,,,,,,,0.0
AFRICA_WMO,21,AFRICA,Land,Western-Africa,WAF,3094470.472,0.109703795,13495.91749,0.0,-0.0,,,,,,,,,,,0.0
AFRICA_WMO,22,AFRICA,Land,Central-Africa,CAF,4645871.619,0.164703381,2852.838093,0.0,-0.0,0.3637137494375,,,,,,,,,,0.0
