return-years,wind
1.197686503,1.379751855
1.198033063,1.393023592
1.198380331,1.84642657
1.19872831,2.09973798
1.199077,2.217921439
1.199426403,2.460131161
1.199776522,2.480518544
1.200127358,2.882068996
1.200478913,3.049586701
1.20083119,3.513808594
1.201184188,3.562311196
1.201537912,3.572865525
1.201892362,3.700548961
1.20224754,3.715737796
1.202603449,3.71680576
1.202960089,3.735880065
1.203317463,3.92376591
1.203675574,3.925121016
1.204034422,3.943772842
1.204394009,3.963902755
1.204754338,4.216898699
1.205115411,4.272217924
1.205477228,4.426481377
1.205839793,4.434549557
1.206203108,4.440234072
1.206567173,4.565423339
1.206931991,4.594083651
1.207297565,4.615942914
1.207663895,4.678457031
1.208030984,4.69323613
1.208398834,4.771571649
1.208767447,4.775402505
1.209136825,4.788870899
1.20950697,4.793888556
1.209877883,4.796501789
1.210249567,4.871486473
1.210622025,4.970431512
1.210995257,4.980203752
1.211369265,5.012514647
1.211744053,5.038138868
1.212119622,5.109051774
1.212495973,5.161028806
1.21287311,5.209444118
1.213251033,5.214125837
1.213629746,5.250505729
1.21400925,5.287594652
1.214389547,5.318740593
1.21477064,5.363606315
1.21515253,5.413044396
1.215535219,5.416096917
1.215918711,5.424223784
1.216303006,5.445927641
1.216688106,5.500536069
1.217074015,5.56379737
1.217460734,5.590917128
1.217848265,5.609321311
1.218236611,5.653956148
1.218625773,5.65907765
1.219015754,5.664743055
1.219406555,5.682658941
1.21979818,5.814372737
1.22019063,5.821649682
1.220583908,5.832657895
1.220978015,5.837694474
1.221372954,5.852930624
1.221768727,5.966025022
1.222165336,5.985057903
1.222562784,5.988648983
1.222961072,5.995238671
1.223360204,6.029725927
1.22376018,6.054315213
1.224161004,6.094161262
1.224562678,6.14043124
1.224965204,6.16523207
1.225368585,6.170841686
1.225772822,6.25012626
1.226177917,6.265292252
1.226583874,6.270806541
1.226990695,6.280514148
1.227398381,6.281986617
1.227806936,6.282537632
1.228216361,6.351300059
1.228626659,6.396851394
1.229037832,6.422012869
1.229449882,6.425501492
1.229862813,6.426908718
1.230276626,6.436011992
1.230691324,6.481520879
1.231106908,6.485962718
1.231523383,6.493355109
1.231940749,6.494172214
1.232359009,6.502171342
1.232778167,6.547198634
1.233198223,6.560603018
1.233619181,6.566696573
1.234041044,6.585321723
1.234463813,6.599701185
1.23488749,6.628013465
1.23531208,6.650214214
1.235737583,6.654576433
1.236164003,6.660592097
1.236591342,6.716653894
1.237019603,6.720633055
1.237448787,6.723119574
1.237878898,6.763902981
1.238309939,6.81791716
1.238741911,6.868564136
1.239174817,6.869606939
1.23960866,6.916054522
1.240043442,6.936849367
1.240479167,6.943204385
1.240915836,7.053875032
1.241353452,7.102657447
1.241792018,7.122460995
1.242231536,7.135538906
1.24267201,7.142592967
1.243113441,7.148443682
1.243555833,7.15300917
1.243999187,7.164060793
1.244443508,7.17163062
1.244888796,7.200919286
1.245335056,7.212522645
1.245782289,7.21777709
1.246230499,7.228149845
1.246679689,7.239252422
1.24712986,7.259589925
1.247581016,7.263934389
1.248033159,7.265951647
1.248486292,7.334516576
1.248940419,7.334917261
1.249395541,7.362152358
1.249851661,7.381034658
1.250308783,7.414587625
1.25076691,7.451225241
1.251226043,7.469264022
1.251686186,7.473123281
1.252147341,7.482307075
1.252609512,7.516270024
1.253072701,7.52883852
1.253536912,7.549859648
1.254002147,7.551676327
1.254468408,7.551950849
1.2549357,7.552398434
1.255404024,7.595722862
1.255873384,7.600270044
1.256343783,7.617198282
1.256815223,7.625595913
1.257287708,7.641182181
1.257761241,7.642941265
1.258235824,7.648329653
1.258711461,7.652687632
1.259188154,7.678353805
1.259665906,7.679074348
1.260144722,7.68292691
1.260624602,7.702280738
1.261105552,7.710439272
