return-years,wind
1.197454623,2.33967575
1.197568673,2.959328011
1.1976828,2.990724578
1.197797003,3.565432269
1.197911284,3.57469808
1.198025641,3.675102527
1.198140075,3.683276918
1.198254587,3.994659338
1.198369175,4.152260182
1.198483841,4.309190767
1.198598584,4.357103366
1.198713404,4.45833213
1.198828302,4.53583914
1.198943277,4.592051004
1.19905833,4.75850496
1.19917346,4.768512255
1.199288668,4.923107503
1.199403954,4.942296134
1.199519317,4.946865286
1.199634759,4.949830063
1.199750278,4.958028222
1.199865875,4.980032883
1.199981551,4.994146932
1.200097304,5.009470971
1.200213136,5.009999774
1.200329045,5.01535691
1.200445033,5.05671508
1.2005611,5.109899678
1.200677245,5.118074879
1.200793468,5.146516214
1.20090977,5.184690895
1.201026151,5.255933946
1.201142611,5.262517283
1.201259149,5.293167383
1.201375766,5.314823591
1.201492462,5.336813509
1.201609236,5.341398188
1.20172609,5.390798425
1.201843023,5.477126234
1.201960036,5.479170838
1.202077127,5.520311956
1.202194298,5.534641664
1.202311548,5.552197381
1.202428877,5.578289894
1.202546286,5.643857133
1.202663775,5.656189769
1.202781343,5.656345854
1.202898991,5.676713134
1.203016719,5.693288151
1.203134527,5.693640247
1.203252414,5.731237796
1.203370382,5.750567749
1.203488429,5.76021844
1.203606557,5.777581284
1.203724765,5.785361427
1.203843053,5.852532294
1.203961421,5.895475749
1.20407987,5.899658776
1.204198399,5.916586692
1.204317009,5.962856464
1.2044357,6.03169146
1.204554471,6.041391335
1.204673322,6.070633722
1.204792255,6.087323078
1.204911268,6.089171569
1.205030363,6.110921189
1.205149538,6.112014369
1.205268794,6.168201749
1.205388132,6.170135036
1.205507551,6.203351672
1.205627051,6.209484036
1.205746632,6.217456685
1.205866295,6.22320595
1.205986039,6.234937378
1.206105865,6.245552246
1.206225773,6.293844207
1.206345762,6.310257407
1.206465833,6.329656872
1.206585986,6.362794935
1.20670622,6.374967276
1.206826537,6.412048075
1.206946936,6.424337871
1.207067416,6.431904956
1.207187979,6.447331008
1.207308625,6.460920632
1.207429352,6.468193201
1.207550162,6.476439259
1.207671055,6.491493874
1.20779203,6.49412017
1.207913087,6.500234878
1.208034227,6.538654237
1.20815545,6.547450719
1.208276756,6.566431436
1.208398145,6.579261502
1.208519617,6.606369802
1.208641171,6.626920392
1.208762809,6.660297191
1.20888453,6.676703433
1.209006334,6.729312219
1.209128222,6.749241609
1.209250192,6.75092719
1.209372247,6.759270288
1.209494385,6.767407615
1.209616606,6.782255408
1.209738911,6.828569874
1.2098613,6.836843978
1.209983773,6.856472501
1.210106329,6.869494018
1.21022897,6.887014863
1.210351694,6.905951316
1.210474503,6.914094383
1.210597396,6.928836004
1.210720373,6.940952037
1.210843434,6.944932272
1.21096658,6.947072377
1.211089811,6.950107853
1.211213125,6.980423374
1.211336525,7.016744964
1.211460009,7.035308783
1.211583578,7.045052501
1.211707231,7.047392715
1.21183097,7.091942632
1.211954793,7.114458154
1.212078702,7.117531295
1.212202696,7.146110666
1.212326775,7.14913133
1.212450939,7.152004776
1.212575188,7.156568422
1.212699523,7.172152721
1.212823944,7.172205777
1.21294845,7.190318138
1.213073041,7.195489979
1.213197719,7.197322113
1.213322482,7.20864991
1.213447331,7.224918354
1.213572265,7.2314855
1.213697286,7.260846282
1.213822393,7.262521831
1.213947586,7.272859938
1.214072866,7.276485163
1.214198231,7.2937641
1.214323683,7.306122592
1.214449222,7.307496178
1.214574847,7.347149666
1.214700559,7.358630503
1.214826357,7.381567364
1.214952242,7.386203907
1.215078214,7.393484141
1.215204273,7.411853811
1.215330418,7.414740448
1.215456651,7.419565539
1.215582971,7.430671254
1.215709378,7.43610382
1.215835873,7.441592377
1.215962454,7.448397856
1.216089124,7.449492486
1.21621588,7.456198358
1.216342724,7.457778254
1.216469656,7.460196349
1.216596676,7.475731006
1.216723784,7.493343586
1.216850979,7.493984297
1.216978262,7.49443563
1.217105634,7.495088977
1.217233093,7.501551297
1.217360641,7.511581148
1.217488277,7.514320009
1.217616001,7.538363654
1.217743814,7.553881963
1.217871715,7.559716838
1.217999705,7.58457068
1.218127783,7.59189361
1.218255951,7.596060739
1.218384207,7.599903372
1.218512551,7.635202266
1.218640985,7.648679722
1.218769508,7.670829149
1.21889812,7.674001897
1.219026821,7.681915986
1.219155612,7.698143642
1.219284492,7.725301101
1.219413461,7.72717221
1.21954252,7.738649785
1.219671668,7.76568853
1.219800906,7.771131389
1.219930234,7.77453081
1.220059652,7.776544101
1.220189159,7.782066578
1.220318757,7.783991113
1.220448444,7.810625026
1.220578222,7.815217437
1.22070809,7.818186307
1.220838048,7.818768135
1.220968096,7.819109345
1.221098235,7.819650617
1.221228465,7.838124753
1.221358785,7.845767158
1.221489196,7.847389713
1.221619698,7.858167872
1.22175029,7.860110798
1.221880974,7.862350421
1.222011748,7.865679051
1.222142613,7.870072973
1.22227357,7.878704942
1.222404618,7.881226375
1.222535757,7.886017829
1.222666988,7.906495842
1.22279831,7.914540248
1.222929724,7.927997851
1.223061229,7.948877874
1.223192826,7.974205533
1.223324515,8.004602738
1.223456296,8.009166083
1.223588169,8.010993014
1.223720134,8.011535907
1.223852191,8.014482424
1.22398434,8.022500147
1.224116581,8.032765974
1.224248915,8.066056379
1.224381342,8.074846689
1.224513861,8.082252238
1.224646472,8.096544199
1.224779176,8.101370248
1.224911973,8.101917441
1.225044863,8.104297683
1.225177846,8.113842313
1.225310922,8.119735797
1.225444091,8.120293472
1.225577353,8.142272561
1.225710709,8.146200636
1.225844157,8.155827463
1.2259777,8.157602917
1.226111335,8.163825483
1.226245065,8.168954947
1.226378888,8.171827785
1.226512805,8.174814718
1.226646816,8.175387196
1.22678092,8.196662579
1.226915119,8.200237026
1.227049412,8.200355561
1.227183799,8.202937186
1.22731828,8.204062197
1.227452856,8.206385511
1.227587526,8.208585923
1.227722291,8.222981075
1.22785715,8.238120196
1.227992104,8.239566809
1.228127153,8.243894288
1.228262296,8.247510888
1.228397535,8.250300683
1.228532868,8.262534193
1.228668297,8.269562434
1.228803821,8.276479532
1.22893944,8.286634833
1.229075155,8.302929154
1.229210965,8.303776571
1.22934687,8.310855465
1.229482871,8.313073374
1.229618968,8.313879014
1.229755161,8.327281845
1.229891449,8.331343224
1.230027834,8.33774668
1.230164315,8.344249614
1.230300891,8.348331431
1.230437564,8.369455127
1.230574333,8.374788767
1.230711199,8.37838189
1.230848161,8.379664324
1.23098522,8.379996759
1.231122375,8.407960945
1.231259627,8.427602247
1.231396976,8.445092314
1.231534422,8.462180582
1.231671965,8.465033659
1.231809605,8.467311682
1.231947342,8.469189061
1.232085176,8.469735267
1.232223108,8.473760125
1.232361137,8.477663033
1.232499264,8.488852896
1.232637488,8.492623155
1.23277581,8.51117331
1.23291423,8.513270467
1.233052747,8.514359441
1.233191363,8.520779937
1.233330077,8.523019841
1.233468888,8.524804294
1.233607798,8.54131573
1.233746807,8.541613755
1.233885913,8.546652246
1.234025119,8.549091467
1.234164422,8.554208999
1.234303825,8.57599685
1.234443326,8.580802829
1.234582926,8.581118924
1.234722625,8.583688818
1.234862423,8.58686536
1.23500232,8.594495393
1.235142316,8.594527071
1.235282412,8.594561188
1.235422607,8.596419676
1.235562901,8.603700976
1.235703295,8.606914046
1.235843789,8.620800951
1.235984382,8.623756285
1.236125075,8.627005812
1.236265868,8.635027714
1.236406761,8.638747116
1.236547755,8.647699871
1.236688848,8.648296816
1.236830042,8.649072952
1.236971336,8.659033028
1.23711273,8.660423564
1.237254225,8.675893871
1.237395821,8.691261789
1.237537517,8.692145785
1.237679314,8.699800458
1.237821213,8.702570571
1.237963212,8.705653903
1.238105312,8.714516379
1.238247513,8.735114656
1.238389816,8.739729845
1.23853222,8.740577649
1.238674726,8.760885903
1.238817333,8.763230531
1.238960041,8.767664421
1.239102852,8.783053973
1.239245764,8.788026221
1.239388778,8.792539745
1.239531895,8.801190931
1.239675113,8.808631022
1.239818433,8.81431245
1.239961856,8.822819281
1.240105381,8.830272835
1.240249009,8.831790985
1.240392739,8.834623213
1.240536572,8.839000425
1.240680508,8.845470697
1.240824546,8.848148448
1.240968688,8.858141198
1.241112932,8.868806807
1.24125728,8.875637175
1.241401731,8.877795077
1.241546285,8.895802596
1.241690943,8.909085265
1.241835704,8.909230017
1.241980568,8.913118657
1.242125537,8.915926699
1.242270609,8.938226285
1.242415785,8.953820667
1.242561065,8.955882519
1.242706449,8.9631358
1.242851938,8.973848439
1.24299753,8.987138816
1.243143227,9.00023828
1.243289028,9.001540194
1.243434934,9.007060468
1.243580945,9.010313567
1.24372706,9.010851613
1.24387328,9.037493154
1.244019605,9.039029424
1.244166036,9.041532757
1.244312571,9.061154872
1.244459211,9.062818287
1.244605957,9.068961038
1.244752808,9.069446656
1.244899765,9.069458239
1.245046827,9.071423159
1.245193995,9.076553015
1.245341269,9.080331016
1.245488649,9.107710235
1.245636135,9.108870831
1.245783726,9.117337355
1.245931424,9.120598525
1.246079229,9.123012699
1.246227139,9.125369429
1.246375156,9.128005112
1.24652328,9.13088318
1.246671511,9.150379344
1.246819848,9.164968941
1.246968292,9.16521658
1.247116843,9.166430893
1.247265501,9.168034165
1.247414266,9.173301428
1.247563139,9.175894186
1.247712119,9.184096974
1.247861206,9.187379152
1.248010401,9.189493273
1.248159704,9.193040539
1.248309114,9.197368392
1.248458632,9.198683321
1.248608259,9.201892619
1.248757993,9.206561708
1.248907835,9.216894575
1.249057786,9.217425692
1.249207845,9.222051064
1.249358012,9.238882446
1.249508289,9.24327777
1.249658673,9.252168828
1.249809167,9.255629889
1.249959769,9.260613202
1.25011048,9.260988472
1.250261301,9.263858666
1.25041223,9.267915379
1.250563269,9.285209575
1.250714417,9.288493332
1.250865675,9.291217956
1.251017042,9.294121891
1.251168519,9.29526146
1.251320106,9.298643299
1.251471802,9.298678659
1.251623609,9.300915477
1.251775525,9.309184141
1.251927552,9.309585387
1.252079689,9.311805662
1.252231937,9.31303587
1.252384294,9.313905713
1.252536763,9.314644522
1.252689342,9.322698596
1.252842032,9.331825174
1.252994833,9.335259423
1.253147745,9.352075861
1.253300768,9.364157766
1.253453902,9.3685898
1.253607148,9.375074419
1.253760505,9.383202644
1.253913973,9.387172118
1.254067553,9.387533582
1.254221245,9.390086194
1.254375049,9.394154313
1.254528964,9.394436398
1.254682992,9.396960359
1.254837132,9.399527322
1.254991384,9.40095499
1.255145748,9.401315615
1.255300225,9.413586057
1.255454814,9.427734402
1.255609516,9.431980532
1.255764331,9.43588979
1.255919259,9.437851674
1.256074299,9.440646383
1.256229453,9.442000876
1.25638472,9.470774787
1.2565401,9.475940142
1.256695594,9.478351363
1.256851201,9.480116697
1.257006922,9.491189656
1.257162756,9.493008028
1.257318705,9.494095822
1.257474767,9.496818008
1.257630943,9.496884587
1.257787234,9.51077624
1.257943639,9.517611099
1.258100158,9.518602688
1.258256791,9.521254747
1.25841354,9.524515502
1.258570402,9.539345496
1.25872738,9.540801168
1.258884473,9.5471057
1.25904168,9.54911847
1.259199003,9.555127515
1.259356441,9.555682969
1.259513994,9.557147018
1.259671663,9.56704388
1.259829447,9.569579245
1.259987347,9.577534068
1.260145363,9.595232665
1.260303494,9.600666882
1.260461742,9.603446995
1.260620105,9.613407922
1.260778585,9.617600173
1.260937181,9.620389015
1.261095894,9.620642907
1.261254723,9.621721638
1.261413669,9.62285876
1.261572732,9.655534599
1.261731911,9.667209771
1.261891207,9.670670236
1.262050621,9.679259278
1.262210151,9.684393305
1.262369799,9.686007029
1.262529565,9.698707636
1.262689448,9.700488557
1.262849448,9.70392113
1.263009567,9.706114321
1.263169803,9.710417203
1.263330157,9.719220014
1.263490629,9.724760881
1.26365122,9.726687252
1.263811929,9.732144726
1.263972756,9.749251579
1.264133702,9.755610049
1.264294766,9.755967181
1.264455949,9.75670917
1.264617251,9.760283324
1.264778672,9.761106198
1.264940212,9.763045384
1.265101871,9.764712776
1.26526365,9.764735796
1.265425548,9.766437333
1.265587566,9.771623842
1.265749703,9.778998599
1.26591196,9.782013828
1.266074337,9.785172041
1.266236834,9.786361742
1.266399451,9.792363555
1.266562189,9.798827678
1.266725046,9.807025664
1.266888024,9.809324376
1.267051123,9.816910422
1.267214343,9.817491674
1.267377683,9.817826606
1.267541144,9.817827474
1.267704726,9.826682609
1.267868429,9.837539858
1.268032254,9.843534823
1.2681962,9.85331094
1.268360268,9.856189305
1.268524457,9.857961118
1.268688768,9.86480722
1.2688532,9.866857992
1.269017755,9.87046035
1.269182432,9.875592737
1.269347231,9.876996955
1.269512152,9.879710114
1.269677196,9.89585172
1.269842362,9.895857514
1.270007651,9.898722945
1.270173063,9.903239158
1.270338597,9.909566351
1.270504255,9.911493905
1.270670036,9.93183752
1.27083594,9.939352683
1.271001967,9.941906569
1.271168118,9.942544174
1.271334393,9.946091857
1.271500791,9.959928335
1.271667313,9.963333452
1.271833959,9.967375332
1.27200073,9.96976063
1.272167624,9.97531809
1.272334643,9.986954492
